team,elo_rating
Bayern Munich,2051.11
Arsenal,1993.74
Paris SG,1987.63
Barcelona,1972.42
Inter,1938.31
Man City,1931.73
Real Madrid,1926.22
Dortmund,1900.08
Leverkusen,1876.97
Napoli,1871.58
Roma,1849.58
Liverpool,1841.62
Milan,1834.76
Lens,1834.44
Man United,1833.97
Stuttgart,1833.89
Juventus,1833.15
Lille,1827.23
Aston Villa,1823.78
RB Leipzig,1818.15
Ath Madrid,1815.76
Bournemouth,1814.38
Atalanta,1813.36
Lyon,1800.17
Como,1799.85
Marseille,1796.43
Brighton,1793.09
Celtic,1788.84
Rennes,1777.61
Newcastle,1777.17
Monaco,1776.15
PSV,1774.38
Chelsea,1772.81
Betis,1771.83
Strasbourg,1768.61
Brentford,1766.11
Lazio,1764.75
Hoffenheim,1758.52
Villarreal,1746.29
Leeds,1745.07
Bologna,1744.99
Nott'm Forest,1744.8
Everton,1742.73
Freiburg,1741.04
Ein Frankfurt,1740.99
Rangers,1738.71
Crystal Palace,1734.05
Fulham,1734.0
Fiorentina,1731.86
Mainz,1728.29
Toulouse,1712.41
Celta,1708.37
Vallecano,1698.05
Ath Bilbao,1697.31
Lorient,1696.22
Augsburg,1695.95
Paris FC,1695.46
Hearts,1692.49
Tottenham,1690.22
Valencia,1688.27
Udinese,1687.7
Borussia Dortmund,1687.17
M'gladbach,1685.55
Brest,1685.18
Nice,1681.36
Sassuolo,1678.85
West Ham,1676.07
Sociedad,1675.26
Auxerre,1671.26
Genoa,1670.89
Feyenoord Rotterdam,1669.22
Torino,1667.73
Union Berlin,1664.03
Getafe,1662.05
Levante,1660.26
Alaves,1659.52
Osasuna,1659.3
Hamburg,1652.98
Venezia,1650.2
Werder Bremen,1649.49
Sunderland,1649.2
Parma,1645.03
Sevilla,1639.37
Mallorca,1637.65
Girona,1636.61
Espanol,1636.35
Le Havre,1634.62
Elche,1633.52
Wolfsburg,1631.6
Frosinone,1628.54
Twente,1625.26
Cagliari,1622.78
Santander,1614.65
FC Koln,1614.3
Bayer 04 Leverkusen,1614.19
Hibernian,1610.33
Ajax,1610.09
Angers,1608.17
Coventry,1607.78
Lecce,1603.36
Reims,1602.64
Schalke 04,1601.22
Paderborn,1598.88
Elversberg,1598.61
Hannover,1598.51
FC Utrecht,1597.83
La Coruna,1595.12
Wolves,1594.5
Las Palmas,1593.65
Monza,1593.63
Sporting Clube de Portugal,1593.6
Almeria,1593.04
NEC,1592.17
Heidenheim,1591.48
Motherwell,1590.72
Burnley,1590.26
Malaga,1585.83
Ipswich,1583.68
Nantes,1580.27
Cremonese,1578.66
Eibar,1577.33
Sport Lisboa e Benfica,1576.9
AZ,1576.69
Troyes,1576.52
St Pauli,1574.99
Southampton,1574.81
Oviedo,1574.31
Palermo,1574.03
FK Bodø/Glimt,1572.74
Lille OSC,1570.97
Atalanta BC,1570.68
Club Brugge KV,1568.03
Burgos,1567.62
Rodez,1567.49
St Etienne,1567.43
Spain,1566.35
Galatasaray SK,1565.55
AC Milan,1563.49
SS Lazio,1562.78
Porto,1557.62
Millwall,1554.68
Siena,1554.64
Castellon,1554.29
SC Heerenveen,1546.8
Le Mans,1541.7
Bochum,1540.51
Real Sociedad de Fútbol,1539.58
Verona,1538.18
Albacete,1537.56
SSC Napoli,1536.53
Metz,1535.38
GNK Dinamo Zagreb,1534.56
England,1533.3
PAE Olympiakos SFP,1529.9
Stade Brestois 29,1529.21
Racing Club de Lens,1529.03
Copenhagen,1528.97
Andorra,1527.18
Merida,1526.85
Paphos,1526.16
Montpellier,1525.13
Murcia,1525.05
France,1524.81
Hertha,1524.52
Middlesbrough,1524.07
Annecy,1522.99
Germany,1522.66
Ciudad de Murcia,1522.41
M'Gladbach,1522.03
Royale Union Saint-Gilloise,1520.75
Kaiserslautern,1520.31
Reutlingen,1519.02
Darmstadt,1518.44
Bordeaux,1517.96
Nurnberg,1517.57
Cordoba,1515.27
Catanzaro,1515.04
Holstein Kiel,1514.21
Olympique de Marseille,1514.03
Arezzo,1513.65
Athletic Club,1512.99
Switzerland,1512.59
VfB Stuttgart,1511.82
FK Shakhtar Donetsk,1511.77
Netherlands,1510.76
Turkey,1510.23
Portugal,1509.2
Groningen,1508.84
Wrexham,1506.45
Karlsruhe,1504.15
Austria,1501.69
Chievo,1501.4
Rouen,1500.85
Ukraine,1500.37
Ceuta,1497.94
Granada,1497.89
Piacenza ,1497.15
Qarabağ Ağdam FK,1496.81
Red Star,1496.03
Sporting Clube de Braga,1495.67
Kilmarnock,1495.15
Go Ahead Eagles,1494.27
Dundee United,1494.06
Sp Gijon,1494.01
Norwich,1493.3
Telstar 1963,1492.68
Pisa,1492.63
Falkirk,1491.76
Belgium,1491.6
Italy,1491.2
Serbia,1490.87
Catania,1490.21
Georgia,1490.17
Slovakia,1489.67
Denmark,1489.49
Hungary,1489.4
Magdeburg,1488.54
Slovenia,1488.45
Leganes,1487.1
Croatia,1487.05
Romania,1486.47
Besancon,1486.27
Charleville,1484.81
Beauvais,1481.7
Inverness C,1481.68
Albania,1481.1
SK Sturm Graz,1480.8
AC Sparta Praha,1480.62
SK Slavia Praha,1480.48
Czechia,1480.39
Real Madrid B,1480.02
Eintracht Frankfurt,1479.59
FK Crvena Zvezda,1478.98
Sochaux,1478.98
Bielefeld,1478.35
Trapani,1477.25
Swansea,1476.89
Poland,1476.59
Sheffield United,1475.8
Fortuna Dusseldorf,1475.62
Scotland,1475.57
Antwerp,1475.32
Hull,1474.11
Sparta Rotterdam,1472.44
Ein Trier,1472.07
Derby,1470.89
Dundee,1469.27
Guadalajara,1469.07
Juve Stabia,1468.2
Ponferradina,1468.15
Ath Madrid B,1467.52
Pontevedra,1467.18
Dunkerque,1466.82
Aberdeen,1466.75
Villareal,1466.35
Amorebieta,1466.06
UCAM Murcia,1465.32
Kaiserslautern ,1464.2
Modena,1463.69
Perpignan,1462.47
Grenoble,1462.45
Dresden,1460.56
Empoli,1460.17
Gutersloh,1460.08
Evian Thonon Gaillard,1459.14
Rimini,1458.61
Ajaccio,1457.6
Brescia,1455.62
Greuther Furth,1455.17
Leonesa,1454.95
Llagostera,1454.61
Dijon,1454.59
Reggina,1454.5
ŠK Slovan Bratislava,1454.25
FK Kairat,1453.96
Mirandes,1453.53
Foggia,1453.47
Lubeck,1452.95
RB Salzburg,1451.62
Salernitana,1451.57
Real Union,1451.51
Erfurt,1451.47
Sociedad B,1450.39
Bristol City,1449.46
Guingamp,1449.29
PEC Zwolle,1449.24
BSC Young Boys,1449.23
Wasquehal,1448.55
Birmingham,1448.05
Fortuna Sittard,1447.88
Valladolid,1447.85
Wuppertaler,1447.83
Mantova,1447.26
Quevilly Rouen,1447.11
Ascoli,1446.54
SBV Excelsior,1446.03
Aachen,1445.66
St Mirren,1445.52
Aalen,1445.49
Numancia,1442.98
Sabadell,1442.93
Luton,1442.44
Pau FC,1441.69
Braunschweig,1441.25
Avellino,1440.96
Extremadura UD,1439.88
Partick,1439.82
Eldense,1438.98
Clermont,1437.42
Laval,1437.11
Villarreal B,1435.81
Perugia,1435.47
Valence,1435.12
