match_date,season,league,home_team,away_team,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_win_rate,h2h_goal_diff_avg,h2h_meetings,h2h_dominance,revenge_factor,post_loss_bounce,post_loss_bounce_away,season_position_proxy,is_early_season,home_unbeaten_run,away_unbeaten_run,actual_result
2020-08-21,2020-21,Ligue1,Bordeaux,Nantes,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.5
2020-08-22,2020-21,Ligue1,Dijon,Angers,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.0
2020-08-22,2020-21,Ligue1,Lille,Rennes,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.5
2020-08-23,2020-21,Ligue1,Monaco,Reims,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.5
2020-08-23,2020-21,Ligue1,Lorient,Strasbourg,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,1.0
2020-08-23,2020-21,Ligue1,Nimes,Brest,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,1.0
2020-08-23,2020-21,Ligue1,Nice,Lens,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,1.0
2020-08-28,2020-21,Ligue1,Lyon,Dijon,0,0,0,0.45,0.0,0,0.0,0,0,1,0,1,0,0,1.0
2020-08-29,2020-21,Ligue1,Rennes,Montpellier,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,0,1.0
2020-08-29,2020-21,Ligue1,Strasbourg,Nice,0,0,0,0.45,0.0,0,0.0,0,1,0,1,1,0,1,0.0
2020-08-30,2020-21,Ligue1,Brest,Marseille,0,0,0,0.45,0.0,0,0.0,0,1,0,1,1,0,0,0.0
2020-08-30,2020-21,Ligue1,Angers,Bordeaux,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,0.0
2020-08-30,2020-21,Ligue1,Metz,Monaco,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,1,0.0
2020-08-30,2020-21,Ligue1,Nantes,Nimes,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,1.0
2020-08-30,2020-21,Ligue1,St Etienne,Lorient,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,1,1.0
2020-08-30,2020-21,Ligue1,Reims,Lille,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,0.0
2020-09-10,2020-21,Ligue1,Lens,Paris SG,0,0,0,0.45,0.0,0,0.0,0,1,0,1,1,0,0,1.0
2020-09-11,2020-21,Ligue1,Bordeaux,Lyon,0,0,0,0.45,0.0,0,0.0,0,0,0,2,1,2,1,0.5
2020-09-12,2020-21,LaLiga,Granada,Ath Bilbao,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,1.0
2020-09-12,2020-21,Ligue1,Montpellier,Nice,0,0,0,0.45,0.0,0,0.0,0,1,0,1,1,0,2,1.0
2020-09-12,2020-21,Ligue1,St Etienne,Strasbourg,0,0,0,0.45,0.0,0,0.0,0,0,1,1,1,1,0,1.0
2020-09-12,2020-21,LaLiga,Eibar,Celta,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.5
2020-09-12,2020-21,LaLiga,Cadiz,Osasuna,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.0
2020-09-12,2020-21,EPL,Fulham,Arsenal,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.0
2020-09-12,2020-21,EPL,Crystal Palace,Southampton,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,1.0
2020-09-12,2020-21,EPL,Liverpool,Leeds,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,1.0
2020-09-12,2020-21,EPL,West Ham,Newcastle,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.0
2020-09-13,2020-21,Ligue1,Lorient,Lens,0,0,0,0.45,0.0,0,0.0,0,1,0,2,1,0,1,0.0
2020-09-13,2020-21,Ligue1,Nimes,Rennes,0,0,0,0.45,0.0,0,0.0,0,1,0,2,1,0,2,0.0
2020-09-13,2020-21,Ligue1,Dijon,Brest,0,0,0,0.45,0.0,0,0.0,0,1,1,2,1,0,0,0.0
2020-09-13,2020-21,Ligue1,Angers,Reims,0,0,0,0.45,0.0,0,0.0,0,1,1,2,1,0,0,1.0
2020-09-13,2020-21,Ligue1,Lille,Metz,0,0,0,0.45,0.0,0,0.0,0,0,1,2,1,2,0,1.0
2020-09-13,2020-21,EPL,West Brom,Leicester,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.0
2020-09-13,2020-21,LaLiga,Valencia,Levante,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,1.0
2020-09-13,2020-21,LaLiga,Villarreal,Huesca,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.5
2020-09-13,2020-21,LaLiga,Valladolid,Sociedad,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.5
2020-09-13,2020-21,LaLiga,Alaves,Betis,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.0
2020-09-13,2020-21,EPL,Tottenham,Everton,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.0
2020-09-13,2020-21,Ligue1,Monaco,Nantes,0,0,0,0.45,0.0,0,0.0,0,0,0,2,1,2,2,1.0
2020-09-13,2020-21,Ligue1,Paris SG,Marseille,0,0,0,0.45,0.0,0,0.0,0,1,0,1,1,0,1,0.0
2020-09-14,2020-21,EPL,Brighton,Chelsea,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.0
2020-09-14,2020-21,EPL,Sheffield United,Wolves,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.0
2020-09-15,2020-21,Ligue1,Montpellier,Lyon,0,0,0,0.45,0.0,0,0.0,0,0,0,2,1,1,2,1.0
2020-09-16,2020-21,Ligue1,Paris SG,Metz,0,0,0,0.45,0.0,0,0.0,0,1,1,2,1,0,0,1.0
2020-09-17,2020-21,Ligue1,Marseille,St Etienne,0,0,0,0.45,0.0,0,0.0,0,0,0,2,1,2,2,0.0
2020-09-18,2020-21,Ligue1,Lyon,Nimes,0,0,0,0.45,0.0,0,0.0,0,1,1,3,1,0,0,0.5
2020-09-18,2020-21,Bundesliga,Bayern Munich,Schalke 04,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,1.0
2020-09-19,2020-21,Bundesliga,Union Berlin,Augsburg,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.0
2020-09-19,2020-21,EPL,Man United,Crystal Palace,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,1,0.0
2020-09-19,2020-21,EPL,Leeds,Fulham,0,0,0,0.45,0.0,0,0.0,0,1,1,1,1,0,0,1.0
2020-09-19,2020-21,EPL,Everton,West Brom,0,0,0,0.45,0.0,0,0.0,0,0,1,1,1,1,0,1.0
2020-09-19,2020-21,Bundesliga,Dortmund,M'gladbach,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,1.0
