n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,brier,hit_rate
500,3,0.01,0.8,0.6,3,0.619517681186257,0.45356597045338765
700,3,0.01,0.9,0.7,1,0.6197558924061155,0.4540244523688232
300,3,0.01,0.7,0.8,1,0.6199285317156732,0.4532093734080489
300,4,0.01,0.9,0.8,1,0.6201996202667112,0.45262353540499234
700,4,0.01,0.8,0.7,3,0.6203227352873361,0.4523433520122262
500,5,0.01,0.7,0.8,3,0.6204571949363252,0.45224146714212937
500,5,0.01,0.9,0.7,5,0.6204881716109233,0.45178298522669386
300,5,0.01,0.9,0.8,1,0.6205795065813267,0.4525471217524198
300,6,0.01,0.9,0.7,5,0.6208470518425335,0.4513245033112583
300,4,0.03,0.7,0.6,1,0.6209912127640462,0.45089149261334693
700,5,0.01,0.9,0.7,3,0.6210997321567063,0.45122261844116146
500,3,0.03,0.8,0.6,3,0.6212196254315538,0.4513245033112583
700,6,0.01,0.8,0.6,1,0.6218256046279378,0.4498471726948548
300,5,0.03,0.8,0.6,1,0.6221581668414606,0.45058583800305657
500,4,0.03,0.9,0.7,1,0.6227126295146032,0.4490575649516047
300,6,0.03,0.8,0.6,1,0.6234456756310355,0.4487009679062659
300,4,0.05,0.7,0.8,5,0.6234468773387316,0.4478349465104432
500,5,0.03,0.9,0.7,1,0.624582183483748,0.4467651553744269
700,3,0.05,0.9,0.6,5,0.6251539582716185,0.44640855832908816
700,3,0.05,0.9,0.7,5,0.6252807777183754,0.4450076413652573
700,3,0.05,0.8,0.6,1,0.6254993940210835,0.44470198675496686
300,5,0.05,0.7,0.8,1,0.6259730051127599,0.4449312277126847
700,5,0.03,0.7,0.6,3,0.6274967767661411,0.44381049414162
700,4,0.05,0.8,0.6,1,0.629461882953774,0.44067753438614365
700,4,0.05,0.9,0.8,5,0.6297564770998942,0.44121242995415183
700,5,0.05,0.9,0.7,5,0.633437509197086,0.4392256749872644
700,5,0.05,0.9,0.8,1,0.6341635605388377,0.43853795211411106
700,5,0.05,0.7,0.8,1,0.6361085054853809,0.43851248089658684
700,6,0.05,0.7,0.7,3,0.6402267024136269,0.4358889454915945
700,6,0.05,0.8,0.8,1,0.6411214269781842,0.4370606214977076
