team,elo_rating,matches_played,last_match_date,confederation
Spain,2191.1,789,2026-07-10,UEFA
Argentina,2189.86,1075,2026-07-11,CONMEBOL
France,2156.28,941,2026-07-09,UEFA
England,2092.22,1096,2026-07-11,UEFA
Colombia,2023.25,643,2026-07-07,CONMEBOL
Brazil,2011.72,1064,2026-07-05,CONMEBOL
Portugal,2000.04,700,2026-07-06,UEFA
Netherlands,1992.89,883,2026-06-29,UEFA
Morocco,1980.06,623,2026-07-09,CAF
Belgium,1965.39,859,2026-07-10,UEFA
Norway,1952.74,878,2026-07-11,UEFA
Switzerland,1950.49,890,2026-07-11,UEFA
Germany,1949.66,1035,2026-06-29,UEFA
Mexico,1948.94,1008,2026-07-05,CONCACAF
Japan,1916.74,794,2026-06-29,AFC
Italy,1916.41,893,2026-06-07,UEFA
Croatia,1898.05,400,2026-07-02,UEFA
Ecuador,1894.6,595,2026-06-30,CONMEBOL
Denmark,1876.79,874,2026-06-07,UEFA
Uruguay,1869.88,973,2026-06-26,CONMEBOL
Turkey,1864.26,645,2026-06-25,UEFA
Austria,1855.84,864,2026-07-02,UEFA
Iran,1846.26,615,2026-06-26,AFC
Australia,1841.54,585,2026-07-03,AFC
Senegal,1832.2,642,2026-07-01,CAF
Paraguay,1831.66,788,2026-07-04,CONMEBOL
Algeria,1828.29,621,2026-07-02,CAF
Nigeria,1826.18,661,2026-06-10,CAF
Egypt,1820.14,761,2026-07-07,CAF
United States,1816.89,795,2026-07-06,CONCACAF
Russia,1816.11,749,2026-06-09,UEFA
Canada,1811.18,474,2026-07-04,CONCACAF
Ivory Coast,1808.58,640,2026-06-30,CAF
Ukraine,1806.13,338,2026-06-07,UEFA
Yugoslavia,1802.43,483,1992-03-25,Other / Non-FIFA
South Korea,1795.6,1010,2026-06-24,AFC
Basque Country,1784.3,64,2025-11-15,Other / Non-FIFA
Venezuela,1781.85,460,2026-06-09,CONMEBOL
Sweden,1770.01,1105,2026-06-30,UEFA
Chile,1769.75,835,2026-06-09,CONMEBOL
Serbia,1765.99,348,2026-06-04,UEFA
Hungary,1761.87,1006,2026-06-09,UEFA
Greece,1760.3,633,2026-06-07,UEFA
Jersey,1758.36,235,2025-07-18,Other / Non-FIFA
Scotland,1756.95,854,2026-06-24,UEFA
Czechoslovakia,1751.34,520,1993-11-17,Other / Non-FIFA
Poland,1750.86,892,2026-06-03,UEFA
DR Congo,1738.22,528,2026-07-01,CAF
Republic of Ireland,1725.93,633,2026-06-05,UEFA
Slovenia,1725.89,317,2026-06-07,UEFA
Peru,1725.14,714,2026-06-08,CONMEBOL
Czech Republic,1723.22,363,2026-06-24,UEFA
German DR,1712.62,298,1990-09-12,Other / Non-FIFA
Wales,1711.93,726,2026-06-06,UEFA
Cameroon,1709.21,616,2026-03-31,CAF
Kosovo,1706.0,104,2026-06-07,UEFA
