bet_num,match_date,home_team,away_team,outcome,odds,p_model,kelly_fraction,half_kelly,stake,won,profit,bankroll_after
1,2024-01-21,Mirandes,Levante,A,3.0,0.3763,0.0644,0.0322,32.2,0,-32.2,967.8
2,2024-01-21,Sheffield United,West Ham,A,2.2,0.4943,0.0729,0.0365,35.32,0,-35.32,932.48
3,2024-01-21,Bournemouth,Liverpool,A,1.7,0.6661,0.189,0.0945,88.12,1,61.68,994.16
4,2024-01-22,Leicester,Ipswich,H,1.91,0.6324,0.2284,0.1142,113.53,0,-113.53,880.63
5,2024-01-23,Concarneau,Troyes,A,2.9,0.3638,0.029,0.0145,12.77,0,-12.77,867.86
6,2024-01-23,Dunkerque,Ajaccio,A,2.55,0.402,0.0161,0.0081,7.03,0,-7.03,860.83
7,2024-01-23,Angers,Quevilly Rouen,H,2.05,0.587,0.1936,0.0968,83.33,1,87.49,948.32
8,2024-01-23,Hearts,Dundee,H,1.73,0.6354,0.136,0.068,64.49,1,47.07,995.4
9,2024-01-24,St Johnstone,Aberdeen,H,4.0,0.3233,0.0977,0.0489,48.67,0,-48.67,946.72
10,2024-01-26,Kaiserslautern,Schalke 04,A,2.7,0.4104,0.0635,0.0318,30.11,0,-30.11,916.62
11,2024-01-26,Ein Frankfurt,Mainz,H,2.15,0.582,0.2185,0.1093,100.19,1,115.21,1031.83
12,2024-01-26,Catanzaro,Palermo,A,2.7,0.4193,0.0777,0.0389,40.14,0,-40.14,991.69
13,2024-01-26,Hannover,Nurnberg,A,4.2,0.2777,0.0519,0.026,25.78,0,-25.78,965.91
14,2024-01-27,Quevilly Rouen,Grenoble,A,2.9,0.3811,0.0554,0.0277,26.76,0,-26.76,939.15
15,2024-01-27,Osnabruck,Paderborn,A,2.05,0.531,0.0843,0.0422,39.63,0,-39.63,899.52
16,2024-01-27,Cartagena,Amorebieta,H,1.91,0.5545,0.065,0.0325,29.23,1,26.6,926.12
17,2024-01-27,Livingston,Dundee,H,2.88,0.3813,0.0522,0.0261,24.17,0,-24.17,901.95
18,2024-01-27,Kilmarnock,Hibernian,A,3.8,0.3068,0.0592,0.0296,26.7,0,-26.7,875.25
19,2024-01-27,Hearts,Aberdeen,H,2.15,0.5211,0.1047,0.0523,45.78,1,52.64,927.9
