match_date,match_time,league,home_team,away_team,home_elo,away_elo,p_home,p_draw,p_away,best_home_odds,best_draw_odds,best_away_odds,edge_home,edge_draw,edge_away,value_outcome,value_edge,value_odds,value_p_model,model
2026-08-21,19:00,Premier League,Arsenal,Coventry City,1985.3,1608.3,0.8776,0.0473,0.0751,1.19,8.3,20.0,0.0372,-0.0732,0.0251,,,,,elo
2026-08-22,11:30,Premier League,Hull City,Manchester United,1474.6,1855.0,0.1198,0.0779,0.8023,7.42,4.83,1.49,-0.015,-0.1291,0.1312,A,0.1312,1.49,0.8023,elo
2026-08-22,14:00,Premier League,Everton,Crystal Palace,1737.8,1734.7,0.4293,0.2545,0.3162,2.12,3.73,3.73,-0.0424,-0.0136,0.0481,,,,,elo
2026-08-22,14:00,Premier League,Ipswich Town,Sunderland,1584.8,1664.1,0.3322,0.2748,0.393,2.82,3.43,2.7,-0.0225,-0.0167,0.0227,,,,,elo
2026-08-22,14:00,Premier League,Nottingham Forest,Leeds United,1749.2,1734.2,0.4476,0.2445,0.3079,2.29,3.67,3.27,0.011,-0.028,0.0021,,,,,elo
2026-08-22,16:30,Premier League,Brentford,Tottenham Hotspur,1774.1,1681.2,0.5676,0.1831,0.2493,2.67,3.8,2.69,0.1931,-0.0801,-0.1225,H,0.1931,2.67,0.5676,elo
2026-08-23,13:00,Premier League,Brighton and Hove Albion,Aston Villa,1784.2,1836.0,0.349,0.2985,0.3526,2.32,3.84,3.09,-0.0821,0.038,0.029,,,,,elo
2026-08-23,13:00,Premier League,Manchester City,Bournemouth,1965.9,1818.3,0.6469,0.1457,0.2074,1.49,5.33,6.5,-0.0242,-0.042,0.0536,A,0.0536,6.5,0.2074,elo
2026-08-23,15:30,Premier League,Newcastle United,Liverpool,1767.0,1866.2,0.3189,0.2578,0.4233,3.05,4.03,2.3,-0.009,0.0097,-0.0115,,,,,elo
2026-08-24,19:00,Premier League,Fulham,Chelsea,1750.3,1778.2,0.3824,0.2809,0.3367,3.31,3.81,2.22,0.0803,0.0185,-0.1138,H,0.0803,3.31,0.3824,elo
2026-08-22,13:00,Serie A,Torino,AC Milan,1674.6,1822.9,0.2835,0.2173,0.4992,4.65,3.88,1.84,0.0684,-0.0404,-0.0442,H,0.0684,4.65,0.2835,elo
2026-08-22,13:00,Serie A,AS Roma,Fiorentina,1859.0,1737.5,0.6099,0.1628,0.2272,1.56,4.45,6.75,-0.0311,-0.0619,0.0791,A,0.0791,6.75,0.2272,elo
2026-08-22,13:00,Serie A,Atalanta BC,Sassuolo,1817.8,1672.3,0.6441,0.147,0.2089,1.59,4.5,6.14,0.0152,-0.0753,0.0461,,,,,elo
2026-08-22,13:00,Serie A,Bologna,Lazio,1760.6,1772.7,0.4062,0.2674,0.3265,2.13,3.5,3.85,-0.0633,-0.0184,0.0667,A,0.0667,3.85,0.3265,elo
2026-08-22,13:00,Serie A,Parma,Cagliari,1659.1,1643.6,0.4483,0.2441,0.3075,2.72,3.19,2.99,0.0807,-0.0694,-0.0269,H,0.0807,2.72,0.4483,elo
2026-08-22,13:00,Serie A,Udinese,Como,1687.4,1811.7,0.3013,0.2369,0.4619,4.8,3.73,1.86,0.0929,-0.0312,-0.0757,H,0.0929,4.8,0.3013,elo
2026-08-22,13:00,Serie A,Frosinone,Juventus,1628.8,1858.9,0.2206,0.1571,0.6223,7.26,4.6,1.51,0.0829,-0.0603,-0.04,H,0.0829,7.26,0.2206,elo
2026-08-22,13:00,Serie A,Genoa,Napoli,1664.5,1879.3,0.2324,0.1675,0.6002,5.5,3.77,1.77,0.0505,-0.0978,0.0352,H,0.0505,5.5,0.2324,elo
2026-08-22,13:00,Serie A,Inter Milan,Monza,1981.8,1594.4,0.8839,0.0448,0.0713,1.25,7.2,14.0,0.0839,-0.0941,-0.0001,H,0.0839,1.25,0.8839,elo
2026-08-22,13:00,Serie A,Venezia,Lecce,1651.2,1618.3,0.4753,0.2298,0.295,2.4,3.33,3.33,0.0586,-0.0705,-0.0053,H,0.0586,2.4,0.4753,elo
