date,match,league,outcome,odds,stake,won,pnl,cumulative_pnl,bankroll
2024-01-21,Bournemouth vs Liverpool,EPL,A,1.7,97.3,1,68.11,68.11,1068.11
2024-01-21,Magdeburg vs Wehen,Bundesliga2,D,4.33,30.2275,0,-30.2275,37.8825,1037.8825
2024-01-21,Salernitana vs Genoa,SerieA,H,3.6,49.8184,0,-49.8184,-11.9359,988.0641
2024-01-21,Lecce vs Juventus,SerieA,A,1.65,23.0219,1,14.9642,3.0284,1003.0284
2024-01-22,Leicester vs Ipswich,Championship,H,1.91,125.6795,0,-125.6795,-122.6511,877.3489
2024-01-22,Granada vs Ath Madrid,LaLiga,A,1.7,82.1199,1,57.4839,-65.1672,934.8328
2024-01-23,Dunkerque vs Ajaccio,Ligue2,A,2.55,44.498,0,-44.498,-109.6652,890.3348
2024-01-23,Hearts vs Dundee,ScottishPrem,H,1.73,49.6362,1,36.2344,-73.4308,926.5692
2024-01-23,Angers vs Quevilly Rouen,Ligue2,H,2.05,71.9018,1,75.4969,2.066,1002.066
2024-01-23,Pau FC vs St Etienne,Ligue2,H,2.7,17.8368,0,-17.8368,-15.7708,984.2292
2024-01-24,St Johnstone vs Aberdeen,ScottishPrem,H,4.0,58.0695,0,-58.0695,-73.8403,926.1597
2024-01-26,Catanzaro vs Palermo,SerieB,A,2.7,22.7372,0,-22.7372,-96.5775,903.4225
2024-01-26,Ein Frankfurt vs Mainz,Bundesliga,H,2.15,94.5432,1,108.7246,12.1471,1012.1471
2024-01-27,Juventus vs Empoli,SerieA,H,1.29,43.2187,0,-43.2187,-31.0715,968.9285
2024-01-27,Paris FC vs Dunkerque,Ligue2,H,1.75,85.2173,0,-85.2173,-116.2888,883.7112
2024-01-27,Sociedad vs Vallecano,LaLiga,H,1.67,39.2368,0,-39.2368,-155.5256,844.4744
2024-01-27,Annecy vs Pau FC,Ligue2,A,3.5,38.9725,0,-38.9725,-194.4981,805.5019
2024-01-27,Valenciennes vs Bastia,Ligue2,A,2.75,33.0659,0,-33.0659,-227.5639,772.4361
2024-01-27,Sudtirol vs Cosenza,SerieB,H,2.6,71.5276,0,-71.5276,-299.0915,700.9085
2024-01-27,Bari vs Reggiana,SerieB,H,2.0,61.5398,0,-61.5398,-360.6313,639.3687
2024-01-27,Mallorca vs Betis,LaLiga,A,3.2,28.9954,1,63.7898,-296.8415,703.1585
2024-01-27,Modena vs Parma,SerieB,A,2.38,25.9114,0,-25.9114,-322.7528,677.2472
2024-01-27,Stuttgart vs RB Leipzig,Bundesliga,A,2.4,15.3396,0,-15.3396,-338.0925,661.9075
2024-01-27,Werder Bremen vs Freiburg,Bundesliga,A,2.88,30.183,0,-30.183,-368.2755,631.7245
2024-01-27,Marseille vs Monaco,Ligue1,H,2.4,23.6265,0,-23.6265,-391.902,608.098
2024-01-27,Kilmarnock vs Hibernian,ScottishPrem,A,3.8,18.2125,0,-18.2125,-410.1145,589.8855
2024-01-27,Osnabruck vs Paderborn,Bundesliga2,A,2.05,26.3974,0,-26.3974,-436.5119,563.4881
2024-01-27,Hearts vs Aberdeen,ScottishPrem,H,2.15,22.3987,1,25.7585,-410.7534,589.2466
2024-01-27,Hoffenheim vs Heidenheim,Bundesliga,D,4.5,15.4088,1,53.9308,-356.8226,643.1774
2024-01-27,Levante vs Tenerife,Segunda,H,2.25,39.5554,0,-39.5554,-396.3781,603.6219
2024-01-27,Livingston vs Dundee,ScottishPrem,H,2.88,26.7103,0,-26.7103,-423.0883,576.9117
2024-01-28,Genoa vs Lecce,SerieA,H,2.1,19.9323,1,21.9255,-401.1628,598.8372
2024-01-28,Celta vs Girona,LaLiga,A,2.5,47.368,1,71.052,-330.1108,669.8892
