rank,feature,mean_abs_shap
1,g2_diff,0.13156123
2,g2_venue_diff,0.03639456
3,home_capacity_log,0.024144888
4,elo_diff,0.021467235
5,away_elo_home,0.01761827
6,away_xg_diff_avg,0.017420607
7,away_shot_conversion,0.017041467
8,away_score_momentum,0.014433788
9,home_expected,0.0137951
10,away_xg_avg,0.0135906935
11,home_elo,0.013300875
12,venue_win_rate_diff,0.013223508
13,home_goals_scored_avg,0.012487577
14,home_g2_home,0.012347821
15,away_travel_km,0.011851503
16,league_encoded,0.011779194
17,away_win_rate,0.01037541
18,away_g2_away,0.01029813
19,home_shot_conversion,0.010061593
20,home_win_rate,0.0097010005
21,home_g2_uncertainty,0.00967111
22,home_score_momentum,0.009296715
23,home_xg_conceded_avg,0.009030128
24,home_xg_avg,0.00892832
25,away_result_momentum,0.008635045
26,home_result_momentum,0.008544581
27,away_g2_rating,0.008491563
28,home_opp_adj_form,0.008464364
29,home_elo_away,0.00841173
30,altitude_diff,0.008379492
31,venue_elo_diff,0.008339495
32,away_elo_momentum,0.008192253
33,home_g2_rating,0.008065374
34,away_goals_conceded_avg,0.00800776
35,home_xg_diff_avg,0.008007486
36,away_cs_rate,0.007672345
37,elo_x_form,0.007530103
38,away_goals_scored_avg,0.007196251
39,home_goals_conceded_avg,0.007010462
40,home_matches_21d,0.0069788103
41,ref_experience,0.006598116
42,home_cs_rate,0.0060447208
43,home_season_matches,0.005889132
44,away_g2_uncertainty,0.0058104503
45,away_elo_away,0.005727996
46,away_elo,0.005579223
47,away_opp_adj_form,0.005041174
48,late_season_form_diff,0.0046398668
49,h2h_goal_diff_avg,0.004636584
50,home_elo_home,0.0046194326
51,h2h_all_time_dominance,0.004453584
52,away_xg_conceded_avg,0.0042321514
53,fatigue_x_congestion,0.0039694225
54,ref_home_bias,0.0039015978
55,ref_avg_yellows,0.0036743958
56,away_unbeaten_run,0.0033487706
57,away_season_matches,0.0033455712
58,home_elo_momentum,0.003245507
59,h2h_home_win_rate,0.003160182
60,away_days_rest,0.0026202565
61,away_matches_21d,0.0025537189
62,momentum_diff,0.0025078708
63,home_days_rest,0.0022133226
64,home_form,0.0022036089
65,home_fatigue_score,0.0021758145
66,form_diff,0.0021372724
67,away_form,0.0021337918
68,ref_avg_fouls,0.002108747
69,away_fatigue_score,0.0016092523
70,rest_asymmetry,0.0015837204
71,home_unbeaten_run,0.0015824657
72,away_pressure,0.0014577227
73,h2h_meetings,0.0013136745
74,pressure_diff,0.0011948243
75,away_streak,0.0011223946
76,h2h_dominance,0.0010613154
77,home_pressure,0.0008483882
78,is_derby,0.0005665309
79,home_streak,0.0005522865
80,is_early_season,0.00024397415
81,is_late_season,0.0001786386
82,revenge_factor,0.00016414135
83,derby_x_h2h,0.00015670268
84,post_loss_bounce_away,1.7391954e-05
85,post_loss_bounce,7.0968593e-07
