team,league,matches_played,avg_yellows_per_game,avg_reds_per_game,avg_fouls_per_game,yellow_trend,aggression_index,home_yellow_avg,away_yellow_avg,away_card_premium,last_match_date,days_since_last,matches_last_21d,matches_last_7d
Aachen,Bundesliga2,83.0,2.229,0.193,17.181,0.0319,0.6689,2.122,2.333,0.211,2012-05-06,5138,0,0
Aalen,Bundesliga2,,,,,,,,,,2015-05-24,4025,0,0
Aberdeen,ScottishPrem,934.0,1.604,0.105,12.405,-0.0024,0.3113,1.466,1.744,0.278,2026-05-17,14,2,0
Ahlen,Bundesliga2,50.0,2.28,0.14,15.48,-0.2982,0.5659,2.423,2.125,-0.298,2010-05-09,5866,0,0
Ajaccio,Ligue2,366.0,1.995,0.148,14.661,-0.0975,0.4911,1.978,2.011,0.033,2025-05-10,386,0,0
Ajaccio GFCO,Ligue2,76.0,2.421,0.224,15.0,-0.0087,0.5781,2.132,2.711,0.579,2019-05-17,2571,0,0
Alaves,LaLiga,422.0,2.645,0.121,15.021,-0.0168,0.5756,2.682,2.607,-0.076,2026-05-23,8,3,0
Albacete,Segunda,334.0,2.503,0.135,13.856,-0.0811,0.4993,2.401,2.605,0.204,2026-05-24,7,2,1
Albinoleffe,SerieB,,,,,,,,,,2012-05-26,5118,0,0
Alcorcon,Segunda,251.0,2.629,0.175,15.347,0.0268,0.6069,2.437,2.824,0.387,2024-06-02,728,0,0
Alcoyano,Segunda,,,,,,,,,,2012-06-03,5110,0,0
Alessandria,SerieB,38.0,2.737,0.158,14.947,0.0596,0.5919,2.579,2.895,0.316,2022-05-06,1486,0,0
Algeciras,Segunda,,,,,,,,,,2004-06-19,8016,0,0
Alicante,Segunda,,,,,,,,,,2009-06-20,6189,0,0
Almeria,Segunda,596.0,2.564,0.169,15.07,0.0531,0.5828,2.406,2.721,0.315,2026-05-24,7,2,1
Amiens,Ligue2,324.0,1.873,0.117,13.568,0.1209,0.4089,1.654,2.093,0.438,2026-05-09,22,0,0
Amorebieta,Segunda,84.0,2.107,0.095,13.512,-0.1458,0.4255,2.238,1.976,-0.262,2024-06-02,728,0,0
Ancona,SerieB,,,,,,,,,,2010-05-30,5845,0,0
Andorra,Segunda,125.0,2.048,0.12,12.024,0.2695,0.3435,2.0,2.097,0.097,2026-05-24,7,3,1
Angers,Ligue1,400.0,1.635,0.09,12.102,-0.0826,0.2939,1.498,1.774,0.276,2026-05-17,14,2,0
Annecy,Ligue2,144.0,2.201,0.174,15.403,-0.2278,0.5622,2.167,2.236,0.069,2026-05-09,22,0,0
Arezzo,SerieB,,,,,,,,,,2007-06-10,6930,0,0
Arles,Ligue2,38.0,1.763,0.211,17.211,-0.0925,0.6239,1.632,1.895,0.263,2015-05-22,4027,0,0
Arsenal,EPL,978.0,1.545,0.084,10.783,-0.1586,0.2093,1.381,1.708,0.327,2026-05-24,7,3,1
Ascoli,SerieB,344.0,2.637,0.198,16.465,-0.2035,0.6758,2.733,2.541,-0.192,2024-05-10,751,0,0
Aston Villa,EPL,1004.0,1.716,0.065,11.952,-0.0677,0.2876,1.499,1.932,0.433,2026-05-24,7,3,1
Atalanta,SerieA,722.0,2.212,0.134,14.805,-0.2766,0.5194,2.047,2.377,0.33,2026-05-22,9,3,0
Ath Bilbao,LaLiga,798.0,2.4,0.148,14.664,-0.3749,0.5362,2.338,2.461,0.123,2026-05-23,8,4,0
Ath Bilbao B,Segunda,,,,,,,,,,2016-06-04,3648,0,0
Ath Madrid,LaLiga,798.0,2.584,0.135,14.445,0.0836,0.541,2.393,2.774,0.381,2026-05-24,7,3,1
Ath Madrid B,Segunda,,,,,,,,,,2000-06-04,9492,0,0
Augsburg,Bundesliga,544.0,2.085,0.068,14.062,-0.1845,0.446,2.007,2.162,0.154,2026-05-16,15,1,0
Auxerre,Ligue1,476.0,1.664,0.113,13.611,-0.0985,0.387,1.588,1.739,0.151,2026-05-17,14,2,0
Avellino,SerieB,80.0,2.325,0.212,14.912,0.0323,0.5595,2.25,2.4,0.15,2026-05-08,23,0,0
Babelsberg,Bundesliga2,34.0,2.265,0.206,15.324,-0.0286,0.5738,2.294,2.235,-0.059,2002-05-05,8792,0,0
Badajoz,Segunda,,,,,,,,,,2003-02-16,8505,0,0
Barcelona,LaLiga,798.0,1.929,0.093,11.564,0.037,0.2973,1.674,2.183,0.509,2026-05-23,8,4,0
Barcelona B,Segunda,42.0,2.262,0.024,12.405,0.1937,0.3617,2.048,2.476,0.429,2018-06-02,2920,0,0
Bari,SerieB,270.0,2.189,0.104,14.322,-0.269,0.4817,1.985,2.393,0.407,2026-05-08,23,0,0
Barnsley,Championship,690.0,1.597,0.083,12.148,-0.186,0.2902,1.426,1.768,0.342,2022-05-07,1485,0,0
Bastia,Ligue2,370.0,2.122,0.195,14.27,-0.0102,0.4966,2.125,2.118,-0.007,2026-05-09,22,0,0
Bayern Munich,Bundesliga,837.0,1.478,0.056,12.571,0.1503,0.2931,1.175,1.779,0.604,2026-05-16,15,1,0
Beauvais,Ligue2,,,,,,,,,,2003-02-01,8520,0,0
Benevento,SerieB,226.0,2.425,0.159,13.779,0.3609,0.4931,2.283,2.566,0.283,2023-05-19,1108,0,0
Besancon,Ligue2,,,,,,,,,,2003-08-09,8331,0,0
Betis,LaLiga,684.0,2.48,0.168,14.143,-0.3144,0.5218,2.43,2.529,0.099,2026-05-23,8,3,0
Beziers,Ligue2,38.0,2.026,0.158,13.711,-0.161,0.4449,1.789,2.263,0.474,2019-05-17,2571,0,0
Bielefeld,Bundesliga2,459.0,1.754,0.057,14.364,-0.2588,0.4229,1.735,1.773,0.038,2026-05-17,14,1,0
Birmingham,Championship,1086.0,1.647,0.088,12.211,0.2748,0.3008,1.449,1.847,0.398,2026-05-02,29,0,0
Blackburn,Championship,1052.0,1.784,0.086,12.202,0.177,0.3146,1.599,1.97,0.371,2026-05-02,29,0,0
Blackpool,Championship,452.0,1.423,0.097,10.398,-0.0862,0.1781,1.261,1.584,0.323,2023-05-08,1119,0,0
Bochum,Bundesliga2,564.0,2.11,0.105,15.52,0.4218,0.5395,1.979,2.241,0.262,2026-05-17,14,1,0
Bologna,SerieA,646.0,2.294,0.133,14.574,-0.4333,0.5155,2.13,2.458,0.328,2026-05-23,8,3,0
Bolton,Championship,731.0,1.717,0.082,12.72,-0.7088,0.3349,1.503,1.929,0.426,2019-05-05,2583,0,0
Bordeaux,Ligue2,635.0,1.828,0.12,13.906,-0.0155,0.4232,1.684,1.972,0.288,2024-05-17,744,0,0
Boulogne,Ligue2,72.0,2.014,0.139,15.042,-0.4041,0.5119,2.139,1.889,-0.25,2026-05-09,22,0,0
Bourg Peronnas,Ligue2,,,,,,,,,,2018-05-11,2942,0,0
Bournemouth,EPL,526.0,1.757,0.061,10.677,0.1955,0.2204,1.684,1.829,0.144,2026-05-24,7,2,1
Bradford,Championship,175.0,1.749,0.08,13.983,-0.1422,0.4077,1.591,1.908,0.317,2004-05-09,8057,0,0
Braunschweig,Bundesliga2,272.0,2.265,0.14,13.662,-0.161,0.4635,2.118,2.412,0.294,2026-05-17,14,1,0
Brentford,EPL,511.0,1.568,0.047,10.356,-0.1069,0.1779,1.504,1.631,0.127,2026-05-24,7,2,1
Brescia,SerieB,344.0,2.395,0.105,15.081,-0.165,0.5468,2.32,2.471,0.151,2025-05-13,383,0,0
Brest,Ligue1,396.0,1.753,0.086,13.702,-0.03,0.3942,1.677,1.828,0.152,2026-05-17,14,3,0
Brighton,EPL,740.0,1.699,0.086,11.541,0.0597,0.2689,1.617,1.78,0.163,2026-05-24,7,2,1
Bristol City,Championship,782.0,1.518,0.05,10.785,0.2517,0.197,1.322,1.714,0.391,2026-05-02,29,0,0
Burghausen,Bundesliga2,34.0,2.059,0.059,19.824,-0.0771,0.7592,2.176,1.941,-0.235,2007-05-20,6951,0,0
Burgos,Segunda,209.0,2.316,0.057,11.914,0.1227,0.3498,2.385,2.248,-0.137,2026-05-24,7,2,1
Burnley,EPL,1095.0,1.663,0.072,11.543,0.0222,0.2611,1.369,1.956,0.587,2026-05-24,7,3,1
Burton,Championship,92.0,1.587,0.033,10.174,0.1342,0.166,1.283,1.891,0.609,2018-05-06,2947,0,0
Bury,Championship,,,,,,,,,,1999-05-09,9884,0,0
CA Bastia,Ligue2,,,,,,,,,,2014-05-16,4398,0,0
CZ Jena,Bundesliga2,34.0,2.382,0.118,22.0,0.0494,0.9317,2.353,2.412,0.059,2008-05-18,6587,0,0
Cadiz,Segunda,398.0,2.58,0.141,14.307,0.3176,0.5344,2.545,2.616,0.071,2026-05-24,7,2,1
Caen,Ligue2,555.0,1.786,0.117,14.939,-0.0479,0.4749,1.668,1.903,0.235,2025-05-10,386,0,0
Cagliari,SerieA,758.0,2.314,0.145,15.368,-0.395,0.5649,2.142,2.485,0.343,2026-05-24,7,2,1
Cannes,Ligue2,,,,,,,,,,2001-05-18,9144,0,0
Cardiff,Championship,982.0,1.498,0.07,10.95,-0.1322,0.2095,1.255,1.741,0.487,2025-05-03,393,0,0
Carpi,SerieB,116.0,2.319,0.129,17.172,-0.0513,0.6609,2.224,2.414,0.19,2019-05-11,2577,0,0
Carrarese,SerieB,76.0,2.329,0.079,13.289,-0.1842,0.4333,2.158,2.5,0.342,2026-05-08,23,0,0
Cartagena,Segunda,210.0,2.51,0.11,13.552,-0.0835,0.4762,2.295,2.724,0.429,2025-06-01,364,0,0
Castellon,Segunda,125.0,2.344,0.152,13.576,0.1519,0.471,2.5,2.19,-0.31,2026-05-24,7,2,1
Catania,SerieB,304.0,2.237,0.181,18.273,0.0729,0.7269,2.164,2.309,0.145,2015-05-22,4027,0,0
Catanzaro,SerieB,114.0,2.211,0.105,13.93,-0.1857,0.4629,2.088,2.333,0.246,2026-05-08,23,0,0
Celta,LaLiga,608.0,2.37,0.128,13.724,-0.1561,0.4755,2.23,2.51,0.28,2026-05-23,8,3,0
