league,team,current_pts,current_gd,win_pct,top4_pct,top6_pct,relegation_pct,modal_position,mean_position
EPL,Arsenal,74,35,0.0,100.0,100.0,0.0,2,2.0
EPL,Aston Villa,66,7,0.0,0.0,100.0,0.0,6,6.0
EPL,Bournemouth,56,12,0.0,0.0,0.0,0.0,9,9.0
EPL,Brentford,56,9,0.0,0.0,0.0,0.0,10,10.0
EPL,Brighton,61,7,0.0,0.0,0.0,0.0,8,8.0
EPL,Chelsea,69,21,0.0,100.0,100.0,0.0,4,4.0
EPL,Crystal Palace,53,0,0.0,0.0,0.0,0.0,12,12.0
EPL,Everton,48,-2,0.0,0.0,0.0,0.0,13,13.0
EPL,Fulham,54,0,0.0,0.0,0.0,0.0,11,11.0
EPL,Ipswich,22,-46,0.0,0.0,0.0,100.0,19,19.0
EPL,Leicester,25,-47,0.0,0.0,0.0,100.0,18,18.0
EPL,Liverpool,84,45,100.0,100.0,100.0,0.0,1,1.0
EPL,Man City,71,28,0.0,100.0,100.0,0.0,3,3.0
EPL,Man United,42,-10,0.0,0.0,0.0,0.0,15,15.0
EPL,Newcastle,66,21,0.0,0.0,100.0,0.0,5,5.0
EPL,Nott'm Forest,65,12,0.0,0.0,0.0,0.0,7,7.0
EPL,Southampton,12,-60,0.0,0.0,0.0,100.0,20,20.0
EPL,Tottenham,38,-1,0.0,0.0,0.0,0.0,17,17.0
EPL,West Ham,43,-16,0.0,0.0,0.0,0.0,14,14.0
EPL,Wolves,42,-15,0.0,0.0,0.0,0.0,16,16.0
LaLiga,Alaves,42,-10,0.0,0.0,0.0,0.0,14,14.0
LaLiga,Ath Bilbao,70,25,0.0,100.0,100.0,0.0,4,4.0
LaLiga,Ath Madrid,76,38,0.0,100.0,100.0,0.0,3,3.0
LaLiga,Barcelona,88,63,100.0,100.0,100.0,0.0,1,1.0
LaLiga,Betis,60,7,0.0,0.0,100.0,0.0,6,6.0
LaLiga,Celta,55,2,0.0,0.0,0.0,0.0,7,7.0
LaLiga,Espanol,42,-11,0.0,0.0,0.0,0.0,15,15.0
LaLiga,Getafe,42,-5,0.0,0.0,0.0,0.0,13,13.0
LaLiga,Girona,41,-16,0.0,0.0,0.0,0.0,17,17.0
LaLiga,Las Palmas,32,-21,0.0,0.0,0.0,100.0,19,19.0
LaLiga,Leganes,40,-17,0.0,0.0,0.0,100.0,18,18.0
LaLiga,Mallorca,48,-9,0.0,0.0,0.0,0.0,10,10.0
LaLiga,Osasuna,52,-4,0.0,0.0,0.0,0.0,9,9.0
LaLiga,Real Madrid,84,40,0.0,100.0,100.0,0.0,2,2.0
LaLiga,Sevilla,41,-13,0.0,0.0,0.0,0.0,16,16.0
LaLiga,Sociedad,46,-11,0.0,0.0,0.0,0.0,12,12.0
LaLiga,Valencia,46,-10,0.0,0.0,0.0,0.0,11,11.0
LaLiga,Valladolid,16,-64,0.0,0.0,0.0,100.0,20,20.0
LaLiga,Vallecano,52,-4,0.0,0.0,0.0,0.0,8,8.0
LaLiga,Villarreal,70,20,0.0,0.0,100.0,0.0,5,5.0
SerieA,Atalanta,74,41,0.0,100.0,100.0,0.0,3,3.0
SerieA,Bologna,62,10,0.0,0.0,0.0,0.0,9,9.0
SerieA,Cagliari,36,-16,0.0,0.0,0.0,0.0,16,16.0
SerieA,Como,49,-3,0.0,0.0,0.0,0.0,10,10.0
