match_date,league,home_team,away_team,outcome,p_model,odds,implied_prob,edge,EV,kelly_fraction,half_kelly,actual_result,won,profit_flat,profit_kelly,clv
2024-03-10,EPL,West Ham,Burnley,H,0.6153,1.67,0.5988,0.0501,0.0276,0.0412,0.0206,D,0,-1.0,-0.0206,0.0272
2024-03-10,LaLiga,Las Palmas,Ath Bilbao,H,0.3281,4.0,0.25,0.0907,0.3124,0.1041,0.0521,A,0,-1.0,-0.0521,0.2718
2024-03-10,EPL,Liverpool,Man City,H,0.3794,3.0,0.3333,0.0634,0.1383,0.0692,0.0346,D,0,-1.0,-0.0346,0.1296
2024-03-11,SerieA,Lazio,Udinese,H,0.6012,1.91,0.5236,0.1069,0.1482,0.1629,0.0814,A,0,-1.0,-0.0814,0.1382
2024-03-11,EPL,Chelsea,Newcastle,A,0.3196,3.6,0.2778,0.0554,0.1505,0.0579,0.0289,H,0,-1.0,-0.0289,0.1402
2024-03-11,Segunda,Amorebieta,Leganes,A,0.4538,2.45,0.4082,0.069,0.1118,0.0771,0.0385,A,1,1.45,0.0559,0.1059
2024-03-13,ScottishPrem,Ross County,Hibernian,H,0.2942,4.2,0.2381,0.0664,0.2357,0.0736,0.0368,D,0,-1.0,-0.0368,0.2116
2024-03-13,EPL,Bournemouth,Luton,D,0.2652,4.75,0.2105,0.065,0.2599,0.0693,0.0347,H,0,-1.0,-0.0347,0.2311
2024-03-13,Segunda,Levante,Andorra,H,0.551,1.91,0.5236,0.0517,0.0525,0.0576,0.0288,D,0,-1.0,-0.0288,0.0511
2024-03-15,SerieB,Palermo,Venezia,H,0.4151,2.63,0.3802,0.0519,0.0917,0.0562,0.0281,A,0,-1.0,-0.0281,0.0877
2024-03-15,Bundesliga,FC Koln,RB Leipzig,H,0.2167,6.5,0.1538,0.0707,0.4083,0.0742,0.0371,A,0,-1.0,-0.0371,0.3424
2024-03-15,Bundesliga2,Paderborn,Braunschweig,H,0.6126,1.85,0.5405,0.1013,0.1333,0.1568,0.0784,A,0,-1.0,-0.0784,0.1251
2024-03-15,Bundesliga2,Osnabruck,Fortuna Dusseldorf,A,0.5738,1.95,0.5128,0.0887,0.1188,0.1251,0.0625,A,1,0.95,0.0594,0.1123
2024-03-16,Ligue2,Quevilly Rouen,Troyes,A,0.3061,4.0,0.25,0.0725,0.2243,0.0748,0.0374,D,0,-1.0,-0.0374,0.2024
2024-03-16,Championship,Rotherham,Huddersfield,H,0.2893,4.33,0.2309,0.0687,0.2527,0.0759,0.0379,D,0,-1.0,-0.0379,0.2253
2024-03-16,Ligue1,Lens,Nice,H,0.5585,2.0,0.5,0.0797,0.1171,0.1171,0.0585,A,0,-1.0,-0.0585,0.1107
2024-03-16,Ligue1,Nantes,Strasbourg,A,0.3411,3.3,0.303,0.0539,0.1255,0.0546,0.0273,A,1,2.3,0.0627,0.1182
2024-03-16,Championship,Sunderland,QPR,H,0.4791,2.45,0.4082,0.0901,0.1738,0.1198,0.0599,D,0,-1.0,-0.0599,0.1602
2024-03-16,Championship,Stoke,Norwich,A,0.4048,2.8,0.3571,0.067,0.1336,0.0742,0.0371,A,1,1.8,0.0668,0.1254
