team,stadium,latitude,longitude,altitude_m,capacity
Aachen,Tivoli,50.7697,6.0803,175,33000
Aberdeen,Pittodrie,57.1588,-2.0875,3,22199
Ahlen,Stadion am Casinozentrum,51.7647,7.9979,65,12100
Ajaccio,Stade François Coty,41.9205,8.7395,32,10500
Ajaccio GFCO,Stade François Coty,41.9205,8.7395,32,10500
Alaves,Estadio Mendizorroza,42.8441,-2.6825,540,19840
Albacete,Estadio Carlos Belmonte,38.9922,-1.8454,686,17000
Albinoleffe,Stadio Atleti Azzurri d'Italia,45.6978,9.6701,238,26584
Alcorcon,Estadio Santo Domingo,40.3417,-3.8271,663,4500
Alcoyano,Estadio El Collao,38.6954,-0.4784,541,5000
Alessandria,Stadio Giuseppe Moccagatta,44.9105,8.6256,98,6000
Algeciras,Estadio Nuevo Mirador,36.1300,-5.4553,9,12600
Alicante,Estadio José Rico Pérez,38.3589,-0.4820,15,30000
Almeria,Power Horse Stadium,36.8436,-2.4578,22,13000
Amiens,Stade de la Licorne,49.9118,2.2991,27,12097
Amorebieta,Estadio Urritxe,43.2175,-2.7277,85,5000
Ancona,Stadio Del Conero,43.6073,13.5150,7,28140
Andorra,Estadi Nacional,42.5102,1.5419,1040,3000
Angers,Stade Raymond-Kopa,47.4639,-0.5557,37,18126
Annecy,Parc des Sports,45.8886,6.1296,448,16508
Arezzo,Stadio Città di Arezzo,43.4659,11.8827,264,13250
Arles,Parc des Sports d'Arles,43.6838,4.6298,12,16000
Arsenal,Emirates Stadium,51.5549,-0.1084,18,60704
Ascoli,Stadio Cino e Lillo Del Duca,42.8563,13.5798,155,12000
Aston Villa,Villa Park,52.5092,-1.8847,141,42640
Atalanta,Gewiss Stadium,45.7086,9.6800,244,24000
Ath Bilbao,San Mamés,43.2642,-2.9496,13,53289
Ath Bilbao B,Instalaciones de Lezama,43.2964,-2.9107,60,6000
Ath Madrid,Estadio Cívitas Metropolitano,40.4361,-3.5994,647,68456
Ath Madrid B,Ciudad Deportiva Wanda,40.4386,-3.6115,638,3000
Aalen,Scholz-Arena,48.8445,10.0816,430,10771
Augsburg,WWK Arena,48.3239,10.8887,494,30660
Auxerre,Stade de l'Abbé-Deschamps,47.7937,3.5711,122,22000
Avellino,Stadio Partenio-Adriano Lombardi,40.9230,14.7966,350,26034
Babelsberg,Karl-Liebknecht-Stadion,52.3904,13.0742,32,10022
Badajoz,Estadio Nuevo Vivero,38.8779,-6.9815,171,15500
Barcelona,Camp Nou,41.3809,2.1228,40,99354
Barcelona B,Estadi Johan Cruyff,41.3580,2.0799,42,6000
Bari,Stadio San Nicola,41.0831,16.8620,42,58270
Barnsley,Oakwell,53.5516,-1.4660,77,23009
Bastia,Stade Armand Cesari,42.5957,9.3943,35,16480
Burghausen,Wacker Stadion,48.1717,12.8280,385,15000
Bayern Munich,Allianz Arena,48.2188,11.6248,519,75024
Beauvais,Stade Pierre-Brisson,49.4270,2.0729,75,14000
Benevento,Stadio Ciro Vigorito,41.1266,14.7797,136,16867
Besancon,Stade Léo-Lagrange,47.2299,6.0327,248,12750
Betis,Estadio Benito Villamarín,37.3564,-5.9812,12,60721
Beziers,Stade de la Méditerranée,43.3441,3.2150,15,12000
Bielefeld,SchücoArena,51.9983,8.5302,117,27300
Birmingham,St Andrew's,52.4764,-1.8662,126,29409
Blackburn,Ewood Park,53.7284,-2.4895,112,31367
Blackpool,Bloomfield Road,53.8044,-3.0481,5,16750
Bochum,Vonovia Ruhrstadion,51.4899,7.2389,113,27599
Bologna,Stadio Renato Dall'Ara,44.4939,11.3107,54,38279
Bolton,University of Bolton Stadium,53.5808,-2.5362,80,28723
Bordeaux,Matmut Atlantique,44.8280,-0.5668,6,42115
Boulogne,Stade de la Libération,50.7253,1.5984,22,16000
Bourg Peronnas,Stade Municipal de Bourg-en-Bresse,46.2015,5.2257,230,7420
Bournemouth,Vitality Stadium,50.7352,-1.8383,11,11307
Bradford,Valley Parade,53.8043,-1.7607,100,25136
Braunschweig,Eintracht-Stadion,52.2698,10.5263,75,23325
Brentford,Gtech Community Stadium,51.4906,-0.2886,18,17250
Brescia,Stadio Mario Rigamonti,45.5339,10.1839,144,16999
Brest,Stade Francis-Le Blé,48.3857,-4.4888,40,15097
Brighton,Amex Stadium,50.8614,-0.0833,71,31800
Bristol City,Ashton Gate,51.4401,-2.6204,12,27000
Burgos,El Plantío,42.3593,-3.7215,860,13660
Burnley,Turf Moor,53.7893,-2.2298,122,21944
Burton,Pirelli Stadium,52.8133,-1.6420,62,6912
Bury,Gigg Lane,53.5844,-2.2881,79,11669
CA Bastia,Stade Armand Cesari,42.5957,9.3943,35,16480
CZ Jena,Ernst-Abbe-Sportfeld,50.9134,11.5876,175,12980
Cadiz,Estadio Nuevo Mirandilla,36.5291,-6.2999,4,20724
Caen,Stade Michel d'Ornano,49.1780,-0.3650,12,21000
Cagliari,Unipol Domus Arena,39.2256,9.1116,3,16416
Cannes,Stade Pierre de Coubertin,43.5596,6.9986,6,12000
